word : base_line_score | beam_search_score
瓜 : 0.0247962493314 | 0.02 | 0.00479624933136
锡 : 0.0277370561447 | 0.02 | 0.00773705614469
锻 : 0.0237089804683 | 0.0242061983571 | -0.000497217888836
锲 : 0.0254047630885 | 0.02 | 0.00540476308855
誊 : 0.02 | 0.02 | 0.0
闯 : 0.0237840071903 | 0.02 | 0.00378400719034
捺 : 0.0251191604962 | 0.02 | 0.0051191604962
孤 : 0.02 | 0.02 | 0.0
捱 : 0.02 | 0.02 | 0.0
隽 : 0.02 | 0.02 | 0.0
捕 : 0.0240369817316 | 0.02 | 0.00403698173164
隍 : 0.02 | 0.02 | 0.0
捎 : 0.02 | 0.02 | 0.0
捏 : 0.0246275642632 | 0.0247081782673 | -8.06140041376e-05
隔 : 0.0243067655807 | 0.0243067655807 | 0.0
隗 : 0.02 | 0.02 | 0.0
隙 : 0.02 | 0.02 | 0.0
障 : 0.02 | 0.02 | 0.0
醴 : 0.02 | 0.02 | 0.0
峁 : 0.02 | 0.02 | 0.0
洛 : 0.02 | 0.04 | -0.02
薄 : 0.023685776663 | 0.02 | 0.00368577666297
洞 : 0.0271241437422 | 0.02 | 0.00712414374216
洁 : 0.0236208519356 | 0.04 | -0.0163791480644
嵘 : 0.02 | 0.02 | 0.0
琨 : 0.02 | 0.02 | 0.0
洋 : 0.02 | 0.02 | 0.0
薪 : 0.0242549210711 | 0.02 | 0.00425492107107
醒 : 0.0286135311615 | 0.02 | 0.00861353116147
活 : 0.0238685280723 | 0.0257812965264 | -0.00191276845401
洽 : 0.0260205999133 | 0.0260205999133 | 0.0
醚 : 0.0237580364942 | 0.02 | 0.00375803649418
薹 : 0.02 | 0.0239312326447 | -0.00393123264466
洪 : 0.02 | 0.02 | 0.0
醉 : 0.0326185950714 | 0.02 | 0.0126185950714
洮 : 0.0236006265331 | 0.0236208519356 | -2.0225402467e-05
士 : 0.02 | 0.02 | 0.0
壶 : 0.0286135311615 | 0.0286135311615 | 0.0
灌 : 0.02 | 0.02 | 0.0
琢 : 0.02 | 0.02 | 0.0
灿 : 0.02 | 0.02 | 0.0
灾 : 0.0238110282485 | 0.0238991804379 | -8.81521893403e-05
灶 : 0.0237330482248 | 0.02 | 0.00373304822478
灵 : 0.02 | 0.02 | 0.0
灯 : 0.02 | 0.02 | 0.0
壑 : 0.0260205999133 | 0.0260205999133 | 0.0
嘤 : 0.02 | 0.02 | 0.0
龈 : 0.02 | 0.02 | 0.0
龉 : 0.02 | 0.02 | 0.0
溶 : 0.02 | 0.02 | 0.0
嘶 : 0.02 | 0.02 | 0.0
嘴 : 0.0242549210711 | 0.0286135311615 | -0.0043586100904
摹 : 0.02 | 0.02 | 0.0
龚 : 0.02 | 0.02 | 0.0
摈 : 0.02 | 0.02 | 0.0
舢 : 0.02 | 0.02 | 0.0
摆 : 0.0326185950714 | 0.04 | -0.00738140492857
摒 : 0.02 | 0.02 | 0.0
嘘 : 0.0244848764844 | 0.0257812965264 | -0.00129642004201
冻 : 0.0237330482248 | 0.02 | 0.00373304822478
腼 : 0.02 | 0.02 | 0.0
腾 : 0.0251191604962 | 0.02 | 0.0051191604962
况 : 0.02 | 0.0239647972634 | -0.00396479726341
冶 : 0.02 | 0.02 | 0.0
冬 : 0.0243620858397 | 0.02 | 0.00436208583971
冢 : 0.02 | 0.02 | 0.0
冤 : 0.02 | 0.02 | 0.0
峭 : 0.023581044635 | 0.0263092975357 | -0.00272825290069
写 : 0.0263092975357 | 0.0286135311615 | -0.00230423362575
军 : 0.03 | 0.02 | 0.01
农 : 0.0277370561447 | 0.02 | 0.00773705614469
腓 : 0.02 | 0.02 | 0.0
冒 : 0.02 | 0.02 | 0.0
冕 : 0.02 | 0.02 | 0.0
冈 : 0.02 | 0.02 | 0.0
癯 : 0.02 | 0.02 | 0.0
腆 : 0.0240759009418 | 0.02 | 0.00407590094181
册 : 0.0237840071903 | 0.02 | 0.00378400719034
冀 : 0.02 | 0.0239647972634 | -0.00396479726341
腈 : 0.02 | 0.02 | 0.0
等 : 0.02 | 0.02 | 0.0
筝 : 0.02 | 0.02 | 0.0
策 : 0.02 | 0.02 | 0.0
筢 : 0.02 | 0.02 | 0.0
筠 : 0.02 | 0.02 | 0.0
蚯 : 0.02 | 0.02 | 0.0
翘 : 0.03 | 0.02 | 0.01
翌 : 0.02 | 0.02 | 0.0
翄 : 0.02 | 0.02 | 0.0
惋 : 0.02 | 0.02 | 0.0
翼 : 0.02 | 0.02 | 0.0
惶 : 0.02 | 0.02 | 0.0
翰 : 0.02 | 0.02 | 0.0
翩 : 0.02 | 0.02 | 0.0
惨 : 0.02 | 0.02 | 0.0
翡 : 0.02 | 0.02 | 0.0
惭 : 0.0260205999133 | 0.02 | 0.00602059991328
惯 : 0.0237840071903 | 0.0237840071903 | 0.0
瀛 : 0.02 | 0.02 | 0.0
墨 : 0.02 | 0.02 | 0.0
